ProductCategory,ProductSubCategory,ProductName,Color,OrderQuantity,TotalProductCost,SalesAmount,TaxAmt,Freight
Bikes,Road Bikes,"Road-650 Red, 58",Red,1,413.1463,699.0982,55.9279,17.4775
Bikes,Road Bikes,"Road-150 Red, 48",Red,1,2171.2942,3578.27,286.2616,89.4568
Bikes,Road Bikes,"Road-150 Red, 56",Red,1,2171.2942,3578.27,286.2616,89.4568
Bikes,Road Bikes,"Road-150 Red, 62",Red,1,2171.2942,3578.27,286.2616,89.4568
Bikes,Road Bikes,"Road-150 Red, 62",Red,1,2171.2942,3578.27,286.2616,89.4568
Bikes,Mountain Bikes,"Mountain-100 Black, 42",Black,1,1898.0944,3374.99,269.9992,84.3748
Bikes,Road Bikes,"Road-150 Red, 48",Red,1,2171.2942,3578.27,286.2616,89.4568
Bikes,Road Bikes,"Road-150 Red, 52",Red,1,2171.2942,3578.27,286.2616,89.4568
Bikes,Road Bikes,"Road-150 Red, 44",Red,1,2171.2942,3578.27,286.2616,89.4568
Bikes,Mountain Bikes,"Mountain-100 Black, 44",Black,1,1898.0944,3374.99,269.9992,84.3748
Bikes,Road Bikes,"Road-150 Red, 62",Red,1,2171.2942,3578.27,286.2616,89.4568
Bikes,Mountain Bikes,"Mountain-100 Black, 44",Black,1,1898.0944,3374.99,269.9992,84.3748
Bikes,Road Bikes,"Road-150 Red, 62",Red,1,2171.2942,3578.27,286.2616,89.4568
Bikes,Road Bikes,"Road-150 Red, 44",Red,1,2171.2942,3578.27,286.2616,89.4568
Bikes,Mountain Bikes,"Mountain-100 Black, 38",Black,1,1898.0944,3374.99,269.9992,84.3748
Bikes,Road Bikes,"Road-150 Red, 52",Red,1,2171.2942,3578.27,286.2616,89.4568
Bikes,Mountain Bikes,"Mountain-100 Black, 42",Black,1,1898.0944,3374.99,269.9992,84.3748
Bikes,Road Bikes,"Road-150 Red, 56",Red,1,2171.2942,3578.27,286.2616,89.4568
Bikes,Road Bikes,"Road-150 Red, 56",Red,1,2171.2942,3578.27,286.2616,89.4568
Bikes,Road Bikes,"Road-150 Red, 62",Red,1,2171.2942,3578.27,286.2616,89.4568
Bikes,Road Bikes,"Road-150 Red, 62",Red,1,2171.2942,3578.27,286.2616,89.4568
Bikes,Road Bikes,"Road-150 Red, 48",Red,1,2171.2942,3578.27,286.2616,89.4568
Bikes,Mountain Bikes,"Mountain-100 Black, 44",Black,1,1898.0944,3374.99,269.9992,84.3748
Bikes,Road Bikes,"Road-150 Red, 44",Red,1,2171.2942,3578.27,286.2616,89.4568
Bikes,Road Bikes,"Road-150 Red, 52",Red,1,2171.2942,3578.27,286.2616,89.4568
Bikes,Mountain Bikes,"Mountain-100 Silver, 38",Silver,1,1912.1544,3399.99,271.9992,84.9998
Bikes,Road Bikes,"Road-150 Red, 56",Red,1,2171.2942,3578.27,286.2616,89.4568
Bikes,Road Bikes,"Road-150 Red, 52",Red,1,2171.2942,3578.27,286.2616,89.4568
Bikes,Road Bikes,"Road-150 Red, 48",Red,1,2171.2942,3578.27,286.2616,89.4568
Bikes,Road Bikes,"Road-150 Red, 62",Red,1,2171.2942,3578.27,286.2616,89.4568
Bikes,Road Bikes,"Road-650 Red, 48",Red,1,413.1463,699.0982,55.9279,17.4775
Bikes,Mountain Bikes,"Mountain-100 Silver, 38",Silver,1,1912.1544,3399.99,271.9992,84.9998
Bikes,Road Bikes,"Road-650 Black, 52",Black,1,413.1463,699.0982,55.9279,17.4775
Bikes,Mountain Bikes,"Mountain-100 Black, 48",Black,1,1898.0944,3374.99,269.9992,84.3748
Bikes,Road Bikes,"Road-150 Red, 52",Red,1,2171.2942,3578.27,286.2616,89.4568
Bikes,Road Bikes,"Road-150 Red, 52",Red,1,2171.2942,3578.27,286.2616,89.4568
Bikes,Road Bikes,"Road-150 Red, 44",Red,1,2171.2942,3578.27,286.2616,89.4568
